User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Hobbies,Favorite_Music,Ideal_First_Date,Relationship_Type
45,21,Male,Delhi,Undergraduate,Student,Tinder,,Daily,1.5 hours,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,"Photography, Hiking",Alternative,Photo Shoot,Long-term
46,19,Female,Hyderabad,Graduate,Intern,,OkCupid,Weekly,2 hours,Casual Dating,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,"Cooking, Movies",Indie,Movie Marathon,Casual
47,21,Male,Kolkata,Graduate,Intern,OkCupid,Hinge,Daily,1.5 hours,Finding a Partner,1,,Video Calls,Video Calls,Values > Personality > Appearance,"Traveling, Art",Country,Art Museum Visit,Long-term
48,24,Non-binary,Bangalore,Undergraduate,Full-time Job,Bumble,,Weekly,2 hours,Finding a Partner,2,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Gaming, Fitness",Hip-Hop,Fitness Challenge,Casual
49,21,Male,Bangalore,Postgraduate,Student,OkCupid,,Weekly,30 minutes,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Reading, Dancing",R&B,Dance Class,Long-term
50,19,Male,Kolkata,Postgraduate,Full-time Job,Bumble,,Weekly,30 minutes,Casual Dating,2,,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Cooking, Sports",Pop,Cooking Competition,Casual
51,19,Female,Pune,Postgraduate,Freelancer,Bumble,Tinder,Monthly,1 hour,Social Interaction,5,,Video Calls,Voice Notes,Personality > Interests > Values,"Traveling, Music",Classical,Symphony Concert,Long-term
52,25,Non-binary,Delhi,Graduate,Part-time Job,Tinder,OkCupid,Daily,3 hours,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Fitness, Hiking",EDM,Outdoor Concert,Casual
53,25,Male,Mumbai,Graduate,Full-time Job,Bumble,Tinder,Daily,1.5 hours,Casual Fun,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Dancing, Photography",Jazz,Photo Booth Fun,Long-term
54,18,Male,Delhi,Postgraduate,Student,Hinge,OkCupid,Weekly,3 hours,Social Interaction,5,Safety Concerns,AI Recommendations,Video Calls,Appearance > Interests > Personality,"Cooking, Games",Indie,Board Game Night,Casual
55,22,Non-binary,Mumbai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,3 hours,Finding a Partner,3,,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Traveling, Sports",Rock,Adventure Sports,Long-term
56,20,Non-binary,Mumbai,Undergraduate,Intern,,Hinge,Weekly,1.5 hours,Finding a Partner,5,,Video Calls,Video Calls,Appearance > Interests > Personality,"Gaming, Crafting",Alternative,Craft Night,Casual
57,23,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Bumble,Daily,1.5 hours,Social Interaction,3,,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Reading, Traveling",Country,Travel Show,Long-term
58,19,Female,Mumbai,Postgraduate,Student,OkCupid,,Daily,2 hours,Casual Fun,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,"Dancing, Fitness",Pop,Fitness Dance Class,Casual
59,19,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Daily,3 hours,Casual Fun,5,,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Cooking, Photography",Indie,Food Photography,Long-term
60,22,Male,Chennai,Undergraduate,Full-time Job,OkCupid,Bumble,Monthly,3 hours,Social Interaction,1,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,"Traveling, Art",Folk,Art Fair,Casual
61,22,Non-binary,Bangalore,Undergraduate,Intern,OkCupid,Hinge,Weekly,30 minutes,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Photography, Hiking",Indie,Nature Photography,Long-term
62,24,Female,Bangalore,Postgraduate,Freelancer,Tinder,Hinge,Weekly,2 hours,Social Interaction,3,,AI Recommendations,Text,Personality > Interests > Values,"Cooking, Sports",Jazz,Cooking for Two,Casual
63,21,Female,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Daily,1.5 hours,Social Interaction,4,Time-Wasting,AI Recommendations,Text,Personality > Interests > Values,"Gaming, Writing",Rock,Storytelling Night,Long-term
64,20,Female,Delhi,Postgraduate,Intern,,OkCupid,Monthly,1 hour,Finding a Partner,5,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Reading, Traveling",EDM,Destination Dinner,Casual
65,23,Male,Kolkata,Graduate,Intern,Hinge,Bumble,Weekly,2 hours,Casual Dating,4,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,"Dancing, Fitness",R&B,Fitness Challenge,Long-term
66,22,Male,Chennai,Undergraduate,Part-time Job,Bumble,OkCupid,Monthly,1.5 hours,Social Interaction,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,"Cooking, Movies",Country,Dinner and a Movie,Casual
67,18,Female,Pune,Postgraduate,Intern,,Hinge,Daily,2 hours,Casual Fun,2,Safety Concerns,AI Recommendations,Text,Appearance > Interests > Personality,"Traveling, Sports",Pop,Outdoor Adventure,Long-term
68,22,Male,Bangalore,Graduate,Full-time Job,OkCupid,,Daily,1 hour,Finding a Partner,1,,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Photography, Crafting",Indie,Craft Workshop,Casual
69,24,Female,Delhi,Graduate,Intern,Hinge,Bumble,Monthly,3 hours,Finding a Partner,4,Safety Concerns,Audio Calls,Text,Personality > Interests > Values,"Cooking, Hiking",Rock,Nature Cookout,Long-term
70,18,Male,Hyderabad,Postgraduate,Intern,Bumble,Tinder,Daily,3 hours,Casual Dating,2,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,"Reading, Gaming",Jazz,Game Night,Casual
71,19,Male,Bangalore,Postgraduate,Part-time Job,,Hinge,Monthly,2 hours,Casual Dating,4,Safety Concerns,Video Calls,Voice Notes,Values > Personality > Appearance,"Traveling, Fitness",Pop,Adventure Hiking,Long-term
72,19,Male,Kolkata,Graduate,Intern,Bumble,OkCupid,Daily,2 hours,Casual Fun,1,,Audio Calls,Text,Personality > Interests > Values,"Dancing, Photography",R&B,Dance Showcase,Casual
73,25,Non-binary,Delhi,Postgraduate,Part-time Job,Hinge,Hinge,Daily,3 hours,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,"Cooking, Movies",Indie,Film Festival,Long-term
74,25,Female,Bangalore,Graduate,Student,,OkCupid,Weekly,3 hours,Finding a Partner,4,,Video Calls,Video Calls,Appearance > Interests > Personality,"Traveling, Writing",Classical,Poetry Reading,Casual
75,19,Female,Chennai,Undergraduate,Intern,OkCupid,,Daily,30 minutes,Finding a Partner,2,Lack of Genuine Matches,AI Recommendations,Text,Personality > Interests > Values,"Gaming, Sports",Hip-Hop,Game Day,Long-term
76,22,Male,Chennai,Undergraduate,Full-time Job,Tinder,Hinge,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Reading, Traveling",EDM,Travel Vlog Night,Casual
77,23,Male,Mumbai,Postgraduate,Part-time Job,,Bumble,Weekly,1.5 hours,Casual Fun,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Dancing, Fitness",Rock,Zumba Class,Long-term
78,25,Non-binary,Delhi,Postgraduate,Full-time Job,Hinge,,Daily,1.5 hours,Casual Fun,1,Lack of Genuine Matches,Detailed Profiles,Text,Appearance > Interests > Personality,"Cooking, Photography",Alternative,Food Photography,Casual
79,23,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Monthly,1 hour,Casual Dating,5,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Traveling, Art",Country,Art Class,Long-term
80,24,Male,Bangalore,Postgraduate,Freelancer,Hinge,Bumble,Monthly,30 minutes,Social Interaction,5,Time-Wasting,AI Recommendations,Text,Values > Personality > Appearance,"Fitness, Hiking",Pop,Yoga in the Park,Casual
81,18,Female,Delhi,Undergraduate,Freelancer,,OkCupid,Monthly,1 hour,Casual Fun,1,,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Reading, Sports",Jazz,Sports Event,Long-term
82,18,Male,Chennai,Graduate,Freelancer,OkCupid,Bumble,Daily,1 hour,Social Interaction,2,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Gaming, Dancing",Indie,Dance Off,Casual
83,18,Male,Mumbai,Undergraduate,Intern,OkCupid,Bumble,Daily,2 hours,Social Interaction,1,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,"Cooking, Movies",Classical,Movie Night in,Long-term
84,22,Non-binary,Hyderabad,Postgraduate,Part-time Job,Hinge,Tinder,Weekly,1.5 hours,Finding a Partner,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Traveling, Photography",R&B,Travel Photography Class,Casual
85,18,Non-binary,Pune,Undergraduate,Intern,Bumble,Tinder,Weekly,2 hours,Social Interaction,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Dancing, Crafting",EDM,Craft Party,Long-term
86,20,Female,Delhi,Postgraduate,Student,Hinge,,Monthly,1 hour,Social Interaction,5,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,"Cooking, Fitness",Rock,Healthy Cooking Workshop,Casual
87,21,Non-binary,Pune,Graduate,Freelancer,Bumble,Hinge,Monthly,3 hours,Casual Dating,5,Time-Wasting,Audio Calls,Voice Notes,Values > Personality > Appearance,"Traveling, Sports",Pop,Outdoor Sports,Long-term
88,23,Male,Delhi,Graduate,Intern,,,Daily,1 hour,Social Interaction,2,Time-Wasting,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,"Photography, Gaming",Hip-Hop,Gaming Event,Casual
89,22,Non-binary,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,3 hours,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Reading, Traveling",Indie,Coffee Date,Long-term
90,24,Male,Hyderabad,Graduate,Full-time Job,OkCupid,Hinge,Weekly,3 hours,Casual Fun,5,,AI Recommendations,Video Calls,Personality > Interests > Values,"Dancing, Movies",R&B,Musical Theater,Casual
91,18,Female,Mumbai,Postgraduate,Intern,Tinder,OkCupid,Daily,2 hours,Social Interaction,4,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Cooking, Fitness",Alternative,Fitness Cooking Class,Long-term
92,21,Male,Hyderabad,Undergraduate,Full-time Job,Hinge,Tinder,Monthly,2 hours,Finding a Partner,1,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Traveling, Art",Classical,Museum Gallery,Casual
93,22,Non-binary,Pune,Graduate,Full-time Job,Tinder,OkCupid,Weekly,30 minutes,Casual Dating,2,Lack of Genuine Matches,Video Calls,Voice Notes,Values > Personality > Appearance,"Gaming, Hiking",Country,Adventure Hiking,Long-term
94,21,Non-binary,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Monthly,3 hours,Casual Dating,3,,Detailed Profiles,Text,Values > Personality > Appearance,"Photography, Cooking",Pop,Food Tasting,Casual
95,23,Female,Mumbai,Undergraduate,Full-time Job,OkCupid,,Monthly,3 hours,Social Interaction,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Dancing, Sports",Indie,Sports Class,Long-term
96,20,Female,Delhi,Postgraduate,Student,OkCupid,Tinder,Daily,2 hours,Finding a Partner,4,Time-Wasting,Video Calls,Voice Notes,Personality > Interests > Values,"Traveling, Reading",EDM,Bookstore Visit,Casual
97,23,Female,Delhi,Undergraduate,Part-time Job,Hinge,Bumble,Daily,1.5 hours,Finding a Partner,5,Time-Wasting,Video Calls,Voice Notes,Values > Personality > Appearance,"Cooking, Photography",Jazz,Photography Walk,Long-term
98,22,Male,Chennai,Graduate,Part-time Job,OkCupid,,Daily,30 minutes,Finding a Partner,1,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,"Fitness, Movies",Rock,Movie Marathon,Casual
99,20,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,1.5 hours,Casual Dating,2,,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Traveling, Gaming",R&B,Game Night,Long-term
100,20,Male,Hyderabad,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,3 hours,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,"Dancing, Crafting",Pop,Craft Night,Casual
101,19,Non-binary,Hyderabad,Undergraduate,Freelancer,Tinder,Bumble,Daily,1.5 hours,Casual Fun,4,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,"Reading, Traveling",Indie,Coffee Shop,Long-term
102,19,Male,Kolkata,Graduate,Student,OkCupid,OkCupid,Weekly,3 hours,Finding a Partner,5,Time-Wasting,Video Calls,Video Calls,Appearance > Interests > Personality,"Movies, Sports",Pop,Movie Night,Casual
103,25,Male,Delhi,Postgraduate,Part-time Job,OkCupid,Tinder,Monthly,30 minutes,Social Interaction,3,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,"Cooking, Gaming",Rock,Dinner at Home,Long-term
104,20,Female,Chennai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,1 hour,Finding a Partner,4,,Video Calls,Voice Notes,Values > Personality > Appearance,"Hiking, Music",Jazz,Picnic,Casual
105,25,Male,Delhi,Undergraduate,Student,Hinge,Bumble,Monthly,1.5 hours,Finding a Partner,4,,Location-Based Matching,Text,Appearance > Interests > Personality,"Art, Photography",Classical,Art Gallery,Long-term
106,25,Female,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,2 hours,Casual Fun,3,Safety Concerns,Video Calls,Video Calls,Appearance > Interests > Personality,"Fitness, Traveling",Hip-Hop,Outdoor Adventure,Casual
107,25,Male,Mumbai,Graduate,Intern,Tinder,OkCupid,Daily,30 minutes,Casual Fun,5,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,"Reading, Writing",Alternative,Bookstore,Long-term
108,21,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,1.5 hours,Casual Dating,2,,Location-Based Matching,Video Calls,Personality > Interests > Values,"Sports, Music",Country,Concert,Casual
109,18,Male,Bangalore,Undergraduate,Freelancer,OkCupid,Tinder,Monthly,2 hours,Social Interaction,1,Time-Wasting,Audio Calls,Video Calls,Personality > Interests > Values,"Traveling, Cooking",R&B,Beach Day,Long-term
110,25,Male,Bangalore,Graduate,Freelancer,,Tinder,Daily,2 hours,Casual Fun,2,Lack of Genuine Matches,Audio Calls,Video Calls,Personality > Interests > Values,"Hiking, Fitness",EDM,Amusement Park,Casual
111,24,Male,Bangalore,Undergraduate,Full-time Job,OkCupid,Tinder,Weekly,2 hours,Finding a Partner,2,Safety Concerns,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Dancing, Painting",Reggae,Wine Tasting,Long-term
112,18,Female,Pune,Undergraduate,Freelancer,Hinge,OkCupid,Weekly,1.5 hours,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Text,Values > Personality > Appearance,"Gaming, Coding",Metal,Escape Room,Casual
113,23,Non-binary,Chennai,Undergraduate,Intern,Hinge,Bumble,Daily,1 hour,Casual Dating,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,"Photography, Writing",Indie,Nature Walk,Long-term
114,19,Male,Chennai,Postgraduate,Intern,OkCupid,Hinge,Weekly,1 hour,Casual Dating,1,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Cooking, Sports",Pop,Cooking Class,Casual
115,23,Male,Hyderabad,Graduate,Freelancer,Tinder,,Monthly,2 hours,Casual Dating,1,,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Traveling, Yoga",Classical,Spa Day,Long-term
116,24,Non-binary,Kolkata,Postgraduate,Full-time Job,Tinder,Tinder,Weekly,1.5 hours,Casual Dating,1,Lack of Genuine Matches,Video Calls,Video Calls,Values > Personality > Appearance,"Reading, Hiking",Jazz,Botanical Garden,Casual
117,24,Female,Delhi,Undergraduate,Intern,Bumble,OkCupid,Daily,2 hours,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,"Music, Sports",EDM,Live Music,Long-term
118,25,Non-binary,Chennai,Undergraduate,Freelancer,Tinder,Tinder,Monthly,30 minutes,Casual Fun,3,Time-Wasting,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Fitness, Art",Rock,Art Exhibit,Casual
119,19,Male,Delhi,Postgraduate,Intern,Tinder,Hinge,Monthly,3 hours,Casual Fun,5,,Detailed Profiles,Video Calls,Personality > Interests > Values,"Traveling, Cooking",Hip-Hop,Food Festival,Long-term
120,21,Non-binary,Chennai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,2 hours,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Personality > Interests > Values,"Gaming, Music",Alternative,Karaoke Night,Casual
121,25,Non-binary,Delhi,Graduate,Student,,,Daily,1 hour,Social Interaction,4,Safety Concerns,AI Recommendations,Text,Values > Personality > Appearance,"Reading, Fitness",Country,Picnic in the Park,Long-term
